"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"people know their neighbors connectness","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","connectedness neighborhoods","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"people without strong family connection neighborhood","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Outagamie County Health",2019-05-17,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"recreation in winter low cost or free","Ideas for Innovation","Health & Safety (H&S)","B&CM-Social Support","","Outagamie County Health",2019-05-18,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"sanctuary belonging","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"service for elderly","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Outagamie County Health",2019-05-31,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"social health","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Outagamie County Health",2019-04-13,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"social media","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Outagamie County Health",2019-05-08,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"subsidize child care","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","","Outagamie County Health",2019-06-04,"Mike Sandercock","Penny Robinson","Belonging & Civic Muscle (B&CM)"
"are our support systems scalable with our community growth","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Thrivent",2018-12-03,"Monte","Stacy","Belonging & Civic Muscle (B&CM)"
"community safety net mentor go to adult that they can go to what keeps the bottom from dropping out 125 to keep child in school if they re supporting family","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Thrivent",2018-12-03,"Monte","Stacy","Belonging & Civic Muscle (B&CM)"
"house analogy how do we take the most stressed room in the house and improve it to make it a high value room i e rock the block","Are we trending up or down?","Humane Housing (HH)","B&CM-Social Support","","Thrivent",2018-12-03,"Monte","Stacy","Belonging & Civic Muscle (B&CM)"
"able to participate meaningfully in all areas of life across the lifespan","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"feel part of something","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"people are so nice","Best part of living here?","Not Marked","B&CM-Social Support","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"we don t take care of our young and elderly we need to do better at providing quality care to both ends","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"well across all ages","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"caring","Best part of living here?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"community","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"generous","Best part of living here?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"helpful","Best part of living here?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"people are nicer","Best part of living here?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"sense of belonging","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"very focused on married with kids","Barriers to community well-being?","Not Marked","B&CM-Social Support","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"anyone who doesn t want to participate","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"family support when they have it","Best part of living here?","Healthy Environment (HE)","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"if you are unable to participate as a child help with back up plan for those families who need that support and catch those who can t participate safety net response","Ideas for Innovation","Not Marked","B&CM-Social Support","child care","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"incarcerated parent families","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"job flexibility work life balance family a priority","Best part of living here?","Work & Financial Health (W&FH)","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"kids taking care of siblings grandparents parenting grandchildren","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"navigating your way into existing groups can be difficult","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"nclusivity and selfless service","Ideas for Innovation","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"people take care of each other hard to live in anonymity","Best part of living here?","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"pride in community involvement work together","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"sense of belonging","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"sense of community","Best part of living here?","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"struggling with empowerment generational issue information acces","Barriers to community well-being?","Not Marked","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"up and down kids are no more or less than any other generation community block neighborhood foxcities all influence and work together or not to determine success","Are we trending up or down?","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"up networks that are pervasive in the fox cities that compliment school activities help kids connect if they choose to participate","Are we trending up or down?","Not Marked","B&CM-Social Support","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"use commonalities to increase well being by working together","","Not Marked","B&CM-Social Support","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"at ymca we operate as a family and take care of each other s kids","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"change the whole child care mentality recognize as a basic need","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","child care","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"changing the professional environment to support families e g with babies or older children","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","child care","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"children of divorce split schedules inconsistency","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Girl Scouts",2019-06-11,"Paula Morgen","KV","Belonging & Civic Muscle (B&CM)"
"difficult to fit in if not a core community member generational leaders are closed to new relationships lived here 25 years and can t break into groups","Barriers to community well-being?","Not Marked","B&CM-Social Support","","Girl Scouts",2019-06-11,"Paula Morgen","KV","Belonging & Civic Muscle (B&CM)"
"good social network","""Well Being"" brings to mind?","Not Marked","B&CM-Social Support","","Girl Scouts",2019-06-11,"Paula Morgen","KV","Belonging & Civic Muscle (B&CM)"
"in childcare the things and lessons they learn in childcare can be better than what a parent might do know","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Social Support","child care","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"newcomers struggle to get involved have difficulty connecting to and getting feedback","Ideas for Innovation","Not Marked","B&CM-Social Support","","Girl Scouts",2019-06-11,"Paula Morgen","KV","Belonging & Civic Muscle (B&CM)"
"pride for people who worked here their whole life","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"pulling back from social media promoting the opposite of that","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","social media","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"re define time in how we use it","Ideas for Innovation","Health & Safety (H&S)","B&CM-Social Support","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"since childcare teachers take care of our kids create ways to support these people in a new way","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Social Support","child care","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"strong neighborhood development looked out for each other s kids take care of each other sense of belonging needed","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","YMCA Neenah-Menasha",2019-06-04,"Paula Morgen","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"access all people have access to supports activities etc many don t have what they need i e breakfast food activities and how to get to them many don t even know if subsidies or supports are avaialbe know about resources","Ideas for Innovation","Not Marked","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"all having access to services information activities opportunities","Summary","Not Marked","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"central location to get access to everything needed i e childcare healthcare transportation etc know where to contact","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"funding needed where do our taxes go need to educate people about the need help them see how it impacts you paint the story","Ideas for Innovation","Not Marked","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"help with social determinants barriers then can move forward in many cases","Ideas for Innovation","Not Marked","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"maybe the chamber or someone could have a new community members group where people could learn about opportunities to meet people with similar interests biking hiking movies music","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"older adults","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"people not coming together for good of all vs personal interests","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"people with phones experience with low self esteem among college kids lack of confidence","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"self esteem and social isolation","Summary","Health & Safety (H&S)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"young couples without connections find it hard to connect to groups that are already together","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","thedaCare Encircle",2019-05-15,"Penny R.","Paula M.","Belonging & Civic Muscle (B&CM)"
"breakdown of the family unit","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"community sense of being needed being part of something","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Lawrence University, Youngchild, rm 218",2019-05-07,"Penny Robinson","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"families with disengaged parents also a form of poverty","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","interesting","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"flexible and affordable childcare beyond normal business hours","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Social Support","child care","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"growing desire to meet needs of youngest community members up to age 5","Best part of living here?","Lifelong Learning (LL)","B&CM-Social Support","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"having friends","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"internet available for everyone","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"kids have a sense of place here they feel they belong and are rooted","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"kids need to put down their phones and listen to us","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"kids see belonging in peers sports and places facebook boy girls club","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Neenah Public Library",2019-05-15,"Penny Robinson","Karen Flom","Belonging & Civic Muscle (B&CM)"
"loss of family meals","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"model good behavior","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"more about being attached online than in person","Are we trending up or down?","Lifelong Learning (LL)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"more opportunity to connect kids do a better job of growing networks early","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"more social activities for kids and families","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"more social activities in neighborhoods","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"need to build back the family structure","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"need to instill priority of connecting personally versus connecting technologically","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Neenah Public Library",2019-05-15,"Penny Robinson","Karen Flom","Belonging & Civic Muscle (B&CM)"
"nice people welcoming community vibe","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"peer pressure makes it difficult","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"people feel welcome here","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Neenah Public Library",2019-05-15,"Penny Robinson","Karen Flom","Belonging & Civic Muscle (B&CM)"
"poor communication of available resources to people that need them","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"provide opportunities for community and neighborhood members to co mingle embrace letting kids explore","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"sense of community is surprisingly good kids move back here","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"set priorities related to family unit discussions","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"teach them to solve problems not everyone wins someone is 6 10 and when they don t win they fall apart","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"they aren t respectful","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"they think their phone is their security","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"universal paid parental leave so parents are able to be home with their child","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","","Appleton Public Library",2019-05-29,"Penny Robinson","Laura Gruender","Belonging & Civic Muscle (B&CM)"
"worse technology they don t know how to talk to people social media play computer games","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Village of Kimberly Healthy Seniors Group",2019-05-21,"Penny Robinson","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"after school programs","Best part of living here?","Not Marked","B&CM-Social Support","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Belonging & Civic Muscle (B&CM)"
"friendly people","Best part of living here?","Not Marked","B&CM-Social Support","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Belonging & Civic Muscle (B&CM)"
"social services","Best part of living here?","Not Marked","B&CM-Social Support","","Boys and Girls Club Fox Valley/STAR program",2019-06-12,"Rayon Brown","Lynn Coriano","Belonging & Civic Muscle (B&CM)"
"lots of services for people in need","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Thrivent",2019-02-11,"Schulist","Filapek","Belonging & Civic Muscle (B&CM)"
"marginalized social disconnected people are less likely","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Thrivent",2019-02-28,"Schulist","Filapek","Belonging & Civic Muscle (B&CM)"
"new people feel unwelcome surface friendliness but takes a while to really get connected","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Thrivent",2019-02-28,"Schulist","Filapek","Belonging & Civic Muscle (B&CM)"
"the people that are here helpful generous friendly","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Catalysis",2019-03-01,"Schulist","Schulist","Belonging & Civic Muscle (B&CM)"
"3 year paid paternity maternity leave","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"a way for all of our generations to learn how to support each other","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"accepted","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"affirmed","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"affordable child care","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"affordable high quality child care","Ideas for Innovation","Not Marked","B&CM-Social Support","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"age 18 25 who are struggling transitioning to real life","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"available services for people in need","Best part of living here?","Not Marked","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"bad peer relationships","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"child care not great","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"children of divorce","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"children of parents who both work","Vulnerable groups in community?","Work & Financial Health (W&FH)","B&CM-Social Support","","Brookdale Assisted Living Ceter",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"chronically ill those with mobility issues","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"city services","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"community belonging acceptance sustainability","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"community centers to connect people throughout the fox cities","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"community health sustainability","""Well Being"" brings to mind?","Healthy Environment (HE)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"community of people very welcoming","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"community support","Best part of living here?","Healthy Environment (HE)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"community support","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"community that cares for people","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"community with a lot of single moms","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"community wide wifi","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"companionship","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"decrease screen time","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"disabled people","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"disconnected families values changing","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"economic disparity people in a high income don t understand low income needs","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"elderly","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"elderly","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"elderly become disengaged from other segments of the community then become unaware what is going on in the community","Summary","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Brookdale Assisted Living Ceter",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"extended families are now geographically separated family supports are missing","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"family","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"family","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"family instability in this economy","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"free universal child care","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","child care","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"friendly","Best part of living here?","Healthy Environment (HE)","B&CM-Social Support","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"friendly","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"friendly people","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"get everyone involved in community events","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Hmong Recorder Data",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"good quality family live and nature space currently but needs to be nurtured we cannot stay status que","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
